count,year,month,day,date,dayow
76324,2013,6,27,2013-06-27T00:00:00Z,4
95828,2013,6,28,2013-06-28T00:00:00Z,5
93767,2013,6,29,2013-06-29T00:00:00Z,6
77836,2013,6,30,2013-06-30T00:00:00Z,0
57288,2013,7,1,2013-07-01T00:00:00Z,1
56979,2013,7,2,2013-07-02T00:00:00Z,2
65781,2013,7,3,2013-07-03T00:00:00Z,3
65732,2013,7,4,2013-07-04T00:00:00Z,4
70850,2013,7,5,2013-07-05T00:00:00Z,5
75749,2013,7,6,2013-07-06T00:00:00Z,6
62269,2013,7,7,2013-07-07T00:00:00Z,0
60808,2013,7,8,2013-07-08T00:00:00Z,1
64471,2013,7,9,2013-07-09T00:00:00Z,2
69461,2013,7,10,2013-07-10T00:00:00Z,3
77689,2013,7,11,2013-07-11T00:00:00Z,4
88913,2013,7,12,2013-07-12T00:00:00Z,5
99428,2013,7,13,2013-07-13T00:00:00Z,6
80448,2013,7,14,2013-07-14T00:00:00Z,0
68050,2013,7,15,2013-07-15T00:00:00Z,1
71019,2013,7,16,2013-07-16T00:00:00Z,2
74926,2013,7,17,2013-07-17T00:00:00Z,3
82110,2013,7,18,2013-07-18T00:00:00Z,4
98868,2013,7,19,2013-07-19T00:00:00Z,5
102619,2013,7,20,2013-07-20T00:00:00Z,6
83423,2013,7,21,2013-07-21T00:00:00Z,0
70473,2013,7,22,2013-07-22T00:00:00Z,1
67817,2013,7,23,2013-07-23T00:00:00Z,2
67681,2013,7,24,2013-07-24T00:00:00Z,3
74709,2013,7,25,2013-07-25T00:00:00Z,4
86176,2013,7,26,2013-07-26T00:00:00Z,5
89901,2013,7,27,2013-07-27T00:00:00Z,6
72650,2013,7,28,2013-07-28T00:00:00Z,0
59311,2013,7,29,2013-07-29T00:00:00Z,1
65010,2013,7,30,2013-07-30T00:00:00Z,2
71824,2013,7,31,2013-07-31T00:00:00Z,3
78441,2013,8,1,2013-08-01T00:00:00Z,4
97599,2013,8,2,2013-08-02T00:00:00Z,5
96927,2013,8,3,2013-08-03T00:00:00Z,6
82177,2013,8,4,2013-08-04T00:00:00Z,0
65060,2013,8,5,2013-08-05T00:00:00Z,1
60683,2013,8,6,2013-08-06T00:00:00Z,2
69544,2013,8,7,2013-08-07T00:00:00Z,3
71822,2013,8,8,2013-08-08T00:00:00Z,4
87002,2013,8,9,2013-08-09T00:00:00Z,5
92705,2013,8,10,2013-08-10T00:00:00Z,6
75029,2013,8,11,2013-08-11T00:00:00Z,0
62773,2013,8,12,2013-08-12T00:00:00Z,1
65086,2013,8,13,2013-08-13T00:00:00Z,2
72677,2013,8,14,2013-08-14T00:00:00Z,3
78386,2013,8,15,2013-08-15T00:00:00Z,4
92005,2013,8,16,2013-08-16T00:00:00Z,5
98291,2013,8,17,2013-08-17T00:00:00Z,6
75236,2013,8,18,2013-08-18T00:00:00Z,0
59520,2013,8,19,2013-08-19T00:00:00Z,1
66467,2013,8,20,2013-08-20T00:00:00Z,2
74052,2013,8,21,2013-08-21T00:00:00Z,3
81607,2013,8,22,2013-08-22T00:00:00Z,4
87901,2013,8,23,2013-08-23T00:00:00Z,5
90279,2013,8,24,2013-08-24T00:00:00Z,6
72762,2013,8,25,2013-08-25T00:00:00Z,0
60080,2013,8,26,2013-08-26T00:00:00Z,1
66467,2013,8,27,2013-08-27T00:00:00Z,2
67709,2013,8,28,2013-08-28T00:00:00Z,3
74923,2013,8,29,2013-08-29T00:00:00Z,4
87441,2013,8,30,2013-08-30T00:00:00Z,5
88725,2013,8,31,2013-08-31T00:00:00Z,6
83465,2013,9,1,2013-09-01T00:00:00Z,0
50381,2013,9,2,2013-09-02T00:00:00Z,1
54138,2013,9,3,2013-09-03T00:00:00Z,2
58948,2013,9,4,2013-09-04T00:00:00Z,3
63768,2013,9,5,2013-09-05T00:00:00Z,4
82429,2013,9,6,2013-09-06T00:00:00Z,5
89950,2013,9,7,2013-09-07T00:00:00Z,6
76934,2013,9,8,2013-09-08T00:00:00Z,0
68786,2013,9,9,2013-09-09T00:00:00Z,1
72243,2013,9,10,2013-09-10T00:00:00Z,2
